Date,Time,Symbol,SymbolCode,ExpiryDate,StrikePrice,CALL COI,PUT COI,PCR-COI
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48600,230,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,48700,-220,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,49000,-1107,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,49500,1344,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,50000,990,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,50500,-2490,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,51000,-263,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,51500,2951,0,0.0
2023-08-16,14:10,BANKNIFTY,CNXBAN,17-Aug-2023,52000,9753,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,17700,0,1329,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,17800,0,929,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,17900,0,549,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18000,0,1799,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18100,0,602,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18200,0,2571,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18300,0,1459,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18400,0,1384,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18500,0,7118,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18600,41,6615,161.341
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18650,0,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18700,0,1155,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18750,0,1036,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18800,0,1230,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18850,0,1580,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18900,0,3280,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,18950,0,3053,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19000,3,12941,4313.667
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19050,10,2013,201.3
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19100,27,3399,125.889
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19150,19,2323,122.263
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19200,66,5135,77.803
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19250,491,3601,7.334
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19300,531,7538,14.196
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19350,579,5043,8.71
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19400,2832,8701,3.072
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19450,2939,6529,2.222
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19500,18894,23106,1.223
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19550,8140,6663,0.819
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19600,10778,340,0.032
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19650,5380,1621,0.301
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19700,6146,-475,-0.077
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19750,7481,294,0.039
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19800,7191,632,0.088
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19850,5515,380,0.069
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19900,8813,-27,-0.003
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,19950,2725,7,0.003
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20000,11394,1013,0.089
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20050,843,10,0.012
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20100,1785,5,0.003
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20150,910,3,0.003
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20200,5408,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20250,1314,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20300,2181,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20350,596,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20400,879,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20450,891,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20500,3443,46,0.013
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20550,279,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20600,630,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20650,111,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20700,1071,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20750,32,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20800,599,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20850,47,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20900,392,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,20950,35,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21000,476,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21050,5,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21100,118,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21150,6,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21200,125,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21250,3,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21300,4,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21350,4,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21400,68,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21450,-29,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21500,91,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21550,-25,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21600,-1,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21700,21,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21800,14,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,21900,42,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22000,81,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22100,-5,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22200,-5,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22300,10,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22400,52,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22500,169,0,0.0
2023-08-16,14:10,FINNIFTY,NIFFIN,22-Aug-2023,22600,0,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,17900,0,22933,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,17950,0,14486,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18000,-30,15922,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18050,0,4930,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18100,-1,3441,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18150,0,2056,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18200,0,1728,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18250,0,2424,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18300,0,-398,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18350,2,294,147.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18400,-53,4958,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18450,4,1283,320.75
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18500,-16,-5468,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18550,3,2597,865.667
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18600,-27,17359,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18650,-22,1287,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18700,-49,11189,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18750,1,1899,1899.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18800,-81,1098,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18850,9,-116,-12.889
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18900,17,20950,1232.353
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,18950,9,5266,585.111
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19000,2434,27833,11.435
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19050,136,12205,89.743
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19100,538,30964,57.554
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19150,501,45921,91.659
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19200,6514,72264,11.094
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19250,8962,79631,8.885
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19300,42663,164581,3.858
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19350,51890,157291,3.031
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19400,203658,169643,0.833
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19450,78497,44117,0.562
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19500,113518,19097,0.168
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19550,74115,7073,0.095
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19600,78434,1926,0.025
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19650,37276,126,0.003
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19700,45296,-747,-0.016
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19750,13033,-40,-0.003
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19800,-1122,-223,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19850,-9244,-36,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19900,-1984,-136,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,19950,-4743,-62,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20000,974,-74,-0.076
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20050,5730,-2,-0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20100,1914,-17,-0.009
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20150,4725,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20200,170,-3,-0.018
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20250,1863,0,0.0
